Nama,Program Studi
RIA FAISYAHRIL,Ilmu Kesejahteraan Sosial (S1)
RATIH HIDAYAH,Kimia (S1)
SUNOKO SETYAWAN,Pendidikan Bahasa Inggris (S1)
AGUNG TRI WAHYUNINGSIH,Sastra Inggris (S1)
AGUNG TRI WAHYUNINGSIH,Sastra Inggris (S1)
SUNOKO SETYAWAN,Pendidikan Bahasa Inggris (S1)
VANYA PINKAN MARIDELANA,Manajemen (S1)
REDO MANDRA PRAKOSA,Usaha Perjalanan Wisata (D3)
SYAVITRI SUKMA UTAMI RAMBE,Perencanaan Wilayah dan Kota (S1)
AHMAD FATIKHUL KHASAN,Unknown
ACHMAD ISMAIL,Unknown
FERNANDA PRASKY HARTONO,Pendidikan Sejarah (S1)
YULI HERMANSYAH,Dokter (Profesi)
"GUSTI NGURAH ARY KESUMA PUJA, S.S., M.A.",Pendidikan Sejarah (S1)
UNGGUL WIDYANARKO,Pendidikan Geografi (S1)
STANISLAUS JIWANDANA PINASTHIKA,Informatika (S1)
ARDIPRATAMA ILHAM VEMBRIATMAJA,Teknik Perminyakan (S1)
FATHIKA FITRANIA,Teknologi Hasil Pertanian (S1)
SUSANTIN FAJARIYAH,Biologi (S1)
MUSA AL KADZIM,Ekonomi Syariah (S1)
RADEN SOEDRADJAD,Unknown
LAILI RAHMA HALIMAH,Ilmu Kesejahteraan Sosial (S1)
MUJI,Unknown
ANNISA FITRI MAGHFIROH HARVYANTI,Informatika (S1)
MUTROFIN,Unknown
AJENG PRAMESTHY HARDIANI KUSUMA,Ilmu Hukum (S1)
MUKHAMMAD HANDY DWI WIJAYA,Sosiologi (S1)
EISTIFANI FAJRIN,Peternakan (S1)
TYAS NISA FADILAH,Pendidikan Fisika (S1)
HENDRIK TRI OKTAVIANSYAH,Akuntansi (S1)
MARDI HANDONO,Ilmu Hukum (S1)
NUR DYAH GIANAWATI,Unknown
MAILULAH ELY FAUZIYAH,Unknown
NIAN RIAWATI,Ilmu Administrasi Negara (S1)
YUSUF ADIWIBOWO,Ilmu Hukum (S1)
MAILULAH ELY FAUZIYAH,Unknown
JASMINE RAHMA KESUMA NIRVANA,Teknologi Hasil Pertanian (S1)
GIYARTO,Teknologi Hasil Pertanian (S1)
MISWAR,Unknown
JOSI ALI ARIFANDI,Unknown
NURUL FAHMI RIZKA LAILY,Keperawatan (D3)
RAFIKA NURUL AINI,Unknown
RHAMA WISNU WARDHANA,Ilmu Hukum (S1)
TUTIK PATMIATI,Ilmu Hukum (S1)
SLAMET ROHADI BUDI PRASETYO,Teknologi Rekayasa Konstruksi Bangunan Gedung (D4)
ERLINDA KUSUMA WARDANI,Ilmu Keperawatan (S1)
KURNIA DEWI MULYANI,Teknik Pertambangan (S1)
DWI MARTIANA WATI,Kesehatan Masyarakat (S1)
AULIA RAHMADIANI NEGORO,Akuntansi (S1)
IMAM JUNAIDI,Teknik Sipil (S1)
NURUL ARIFAH,Ilmu Keperawatan (S1)
FITRIA KURNIASIH,Pendidikan Guru Sekolah Dasar (S1)
CHAIRUL SALEH,Administrasi Keuangan (D3)
NUR AWALI KHOIRUNNISA,Ekonomi Syariah (S1)
MISBAHOL YAQIN,Ekonomi Pembangunan (S1)
RADEN DENISIO EDWIN RIKARDA,Teknik Sipil (S1)
DWI WAHYU HARDIYANTO,Teknik Mesin (S1)
KURNIA MAULIDI NOVIANTORO,Pendidikan Geografi (S1)
FAIZAH ALI,Teknik Mesin (S1)
NURINA ADI PARAMITHA,Sosiologi (S1)
YAEN MIFTAKHUL LAILY,Ilmu Administrasi Negara (S1)
NURYADI,Kesehatan Masyarakat (S1)
DODIK PRIHATIN AN,Unknown
SABTA DIANA,Sastra Inggris (S1)
NURYADI,Kesehatan Masyarakat (S1)
SABTA DIANA,Sastra Inggris (S1)
NURDIANA AGUSTINA,Unknown
ARIZA ARISANDI,Pendidikan Ekonomi (S1)
BAMBANG KUSMANADHI,Unknown
TRIANA DEWI HAPSARI,Unknown
VIDDY AGUSTIAN ROSYIDI,Farmasi (S1)
NINDY RAHAYUNINGTYAS,Teknologi Hasil Pertanian (S1)
AHIB ASSADAM,Teknologi Industri Pertanian (S1)
GODELIVA AYUDYANA SUYUDI,Ilmu Hukum (S1)
SUTRISNO,Unknown
SRI HANDAYANI,Unknown
MARIA EKACARINI JAYANIMITTA,Perencanaan Wilayah dan Kota (S1)
LINDIA HEVIYANTI,Teknik Perminyakan (S1)
PURWOWIBOWO,Unknown
SITI MURDIYAH,Pendidikan Biologi (S1)
ZHENITA DELIANY,Pendidikan Bahasa Inggris (S1)
AGUS ABDUL GANI,Unknown
AN'NGAM KHAFIFI,Sosiologi (S1)
SUTOMO,Ilmu Administrasi Negara (S1)
BOEDIJONO,Ilmu Administrasi Negara (S1)
DWI INDAHNING ROHMAH,Biologi (S1)
ELVIN CAHYANITA,Pendidikan Guru Sekolah Dasar (S1)
SUHARTO,Unknown
ELLANDA RIMA ERVYANNA,Gizi (S1)
ACHMAD HARIYANTO,Anestesiologi dan Terapi Intensif (Sp-1)
AHMAD AFANDI,Unknown
NORA SARA DAMAYANTI,Pendidikan Guru Sekolah Dasar (S1)
YULI TRI ANDINI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
DION KRISMASHOGI DHARMAWAN,Pendidikan Dokter (S1)
ARFIAN ALWI FIRMANSYAH,Unknown
ISVINA UNAIZAHROYA,Unknown
BAMBANG EDI PORNOMO,Pendidikan Bahasa Dan Sastra Indonesia (S1)
SETYOWATI KARYANINGTYAS,Unknown
SUNARTI MUSTAMAR,Sastra Indonesia (S1)
DIKSY MEDIA FIRMANSYAH,Teknologi Informasi (S1)
KRIS HENDRIJANTO,Ilmu Kesejahteraan Sosial (S1)
MOHAMMAD DIMYATI,Unknown
MUHAMMAD BAHRUL ULUM,Unknown
HERNU SUYOSO,Unknown
HIDAYAT BAMBANG SETYAWAN,Unknown
DONY BAHTERA FIRMAWAN,Informatika (S1)
INDAH ROHMATUZ ZAHRO,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
SAVIRA OKTAVIA AINIYATI,Pendidikan Dokter (S1)
PUJIASTUTI,Pendidikan Biologi (S1)
DYTA AGNES LAYUNG SARI,Unknown
NURHAYATI,Manajemen (S2)
UMI LAILATUL JAMILAH,Fisika (S1)
PUTRIKA SURYANDARI,Peternakan (S1)
ELLY SUHARTINI,Unknown
UMI LAILATUL JAMILAH,Fisika (S1)
WISASONGKO WISASONGKO,Sastra Inggris (S1)
INAYATUL FIKRIYAH,Perencanaan Wilayah dan Kota (S1)
ADENARSY AVEREUS RAHMAN,Unknown
MERYSA PUSPITA SARI,Matematika (S1)
DWI MERRY CHRISTMARINI ROBIN,Pendidikan Dokter Gigi (S1)
MUHAMMAD ERFAN MUKTASIM BILLAH,Ilmu Hukum (S1)
NABILA AULIA YASMIN KUSWANDI,Profesi Apoteker (Profesi)
MUHAMAD NANDA AL HAKIM AKBAR,Ilmu Administrasi Negara (S1)
SUGENG RAHARTO,Agribisnis (S1)
SITI ZULAIKHAH,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
SUGENG RAHARTO,Agribisnis (S1)
ALIFAN CAHYANA,Perencanaan Wilayah dan Kota (S1)
ANNISA RAHMADINA,Profesi Insinyur (Profesi)
DEWA NGAKAN GDE WAHYU MAHATMA PUTRA,Kesehatan Masyarakat (S1)
ILMIATUS SHOLIKHAH,Unknown
YOPI DARMAWAN,Ilmu Keperawatan (S1)
SAMUDJI SAMUDJI,Ilmu Linguistik (S2)
PETRUS EDI SUSWANDI,Unknown
MOH. NANANG LUTFIAN PUTRA,Teknik Sipil (S1)
RETNO PURNAMA SARI,Ilmu Tanah (S1)
INDAH PURNAMA SARY,Farmasi (S1)
ALIF PUTRA LESTARI,Pendidikan Geografi (S1)
RUSLI HIDAYAT,Unknown
WIWIEK SRI WAHYUNI,Unknown
BUDI SUWARNO,Unknown
ENDANG SRI WIDAYATI,Unknown
FIRDA LAILY MUFID,Ilmu Hukum (S1)
BAMBANG ARYA WIJA PUTRA,Unknown
WIDOWATI,Sosiologi (S1)
MOHAMAD RIFQI FATHONI,Ekonomi Syariah (S1)
ARVIDHEA SAFIRA GUNAWAN,Pendidikan  IPA (S1)
RIAN YAITSAR CHANIAGO,Teknik Lingkungan (S1)
NI PUTU RATNAYUTIKA,Ilmu Hukum (S1)
ELVIRA WAHYU ARUM FANANI,Teknik Mesin (S1)
AYUDYA RIZQI RACHMAWATI,Ilmu Hukum (S1)
NURUL HIDAYAT,Unknown
RENTA VULKANITA HASAN,Televisi Dan Film (S1)
YHULIA PRAPTININGSIH S,Unknown
MUHAMMAD IQBAL,Ilmu Hubungan Internasional (S1)
ESA ROSYIDA UMAM,Keperawatan (Kampus Kota Pasuruan) (D3)
RENTA VULKANITA HASAN,Televisi Dan Film (S1)
RONI PRASETYO,Unknown
TIFFANY RAHMA ABDILLAH,Agribisnis (S1)
TEDY HARNAWAN,Unknown
ICHA NADHIROTUL IZZA AFIDA,Unknown
RINO DWI SADI,Teknologi Rekayasa Konstruksi Bangunan Gedung (D4)
SEKAR AYU RAHMAYANI,Unknown
MEITIA EKATINA,Pendidikan Bahasa Inggris (S1)
SHYNTA AYU DWI DARMAWAN,Unknown
SYECH HARIYONO,Unknown
DYAH MUSTIKA KUSUMA WINAHYU,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
CANDRA PUTRI RIZKIYAH RAMADHANI,Teknik Elektro (S1)
ASTRIAN KUSUMAWATI,Unknown
SUHARTONO,Ilmu Administrasi Niaga (S1)
ARTHUR F.C. REGAR,Unknown
MUHAMAD KHOIRUL ANWAR,Pendidikan Biologi (S1)
EDDY MULYONO,Ilmu Hukum (S1)
SISWOYO HARI SANTOSA,Unknown
ARIN BERLIANA ANGRENANI,Pendidikan Matematika (S1)
DHEALELIA MUNANDARI,Manajemen (S1)
IGOR AVIEZENA ERIS,Perencanaan Wilayah dan Kota (S1)
ANGGRAYENI PURBA,Ilmu Keperawatan (S1)
SISWOYO HARI SANTOSA,Unknown
CHALIA CHISTELLA,Pendidikan Geografi (S1)
MOCH. SYAMSUDIN,Unknown
SAMSUL BACHRI MASMACHOFARI,Unknown
DWI YOGA SETYORINI,Ilmu Keperawatan (S1)
NURUL GHUFRON,Ilmu Hukum (S3)
RAINEY WINDAYATI,Pendidikan Geografi (S1)
NITA FITRIANA,Pendidikan Biologi (S1)
RAINEY WINDAYATI,Pendidikan Geografi (S1)
MUSTHIKA JATHIASIH,Dokter Gigi (Profesi)
DARA ARUBI,Proteksi Tanaman (S1)
MUKHAMAD ALAN NURUL QOMAR,Unknown
DEDY WIRAWAN SOEDIBYO,Teknik Pertanian (S1)
MOZA FAUSTA,Ilmu Hukum (S1)
MUHTADI IRVAN,Unknown
NADIAH SABRINA HIMAM,Ekonomi Syariah (S1)
MOH ERDIANTO TRIPUTRADI,Teknik Elektro (S1)
ALIF SEPTIAN RAKSONO PUTRA,Unknown
CHANDRA EKO WAHYUDI UTOMO,Unknown
INAZ KHUSNUL KHOTIMAH,Pendidikan Geografi (S1)
ADANG RISMANTO,Unknown
RATNA SARI HARDIANI,Unknown
SANDY KUSWARA,Akuntansi (S1)
LULUK FITRI YANI,Rekayasa Perancangan Mekanik (D4)
NISWATUL KARIIMAH,Pendidikan Fisika (S1)
M. MA'ARIF RAKHMATULLAH,Ilmu Sejarah (S1)
REKFA WIKA AMINI,Pendidikan  IPA (S1)
NISWATUL KARIIMAH,Pendidikan Fisika (S1)
M. MA'ARIF RAKHMATULLAH,Ilmu Sejarah (S1)
REKFA WIKA AMINI,Pendidikan  IPA (S1)
EKA ANDRI KURNIAWAN,Ekonomi Pembangunan (S1)
TIKA KUMALASARI,Teknik Lingkungan (S1)
NADIAH SABRINA HIMAM,Ekonomi Syariah (S1)
I WAYAN SUBAGIARTA,Unknown
MAULANA SURYA KUSUMAH,Unknown
FEBRIA RAHAYUNI SULISTIOWATI,Dokter (Profesi)
MUHAMMAD SYAHARUDIN,Unknown
MISNO,Unknown
UMMU AT-TA'ANNY,Teknologi Industri Pertanian (S1)
CHRISTANTO PUJI R,Unknown
MUJIMAN RUS ANDIANTO,Unknown
WIDODO EKATJAHJANA,Unknown
HENGKY BOWO ARDHIYANTO,Pendidikan Dokter Gigi (S1)
KURNIAWATI SAADAH,Unknown
AKHMAD HIDAYAT,Unknown
AHMAD SAIKHU,Pendidikan Geografi (S1)
KADEK DHARMA W,Unknown
WARAH ATIKAH,Ilmu Hukum (S1)
MUHAMMAD SYAHARUDIN,Unknown
A LILIK SLAMET RAHARSONO,Unknown
CHRISTANTO PUJI R,Unknown
MUJIMAN RUS ANDIANTO,Unknown
NINDA AS SAJDAH,Unknown
PUTRI KARTIKA DWI PELITA HATI,Unknown
EMILDA OKTAVIYANI,Pendidikan Bahasa Inggris (S1)
SUNARLAN,Unknown
DEKI ZULKARNAIN,Manajemen (S1)
MITHA KARTIKA SARI,Ilmu Administrasi Niaga (S1)
HARY KRESNO SETIAWAN,Unknown
BINAR RAHMA UTAMI,Dokter (Profesi)
FEBRIA RAHAYUNI SULISTIOWATI,Dokter (Profesi)
NIKEN SULISTYANINGSIH,Unknown
HENGKY BOWO ARDHIYANTO,Pendidikan Dokter Gigi (S1)
DJOKO SUPATMOKO,Unknown
TARSICIUS SUTIKTO,Unknown
AKHMAD HIDAYAT,Unknown
MISNO,Unknown
AHMAD SAIKHU,Pendidikan Geografi (S1)
ALVHINDEAZ AYENDHO,Unknown
BRIHATSAMA,Teknologi Hasil Pertanian (S1)
PUTRI KARTIKA DWI PELITA HATI,Unknown
FAUZAN AUFA MAHSA ARIFIN,Unknown
MOHAMMAD HOESAIN,Unknown
ZUKHRUFFIYAH RIZQI ADDINDA,Unknown
MUHAMMAD SYAHARUDIN,Unknown
KUKUH BUDI MULYA,Unknown
JULVIA NURLAELA FIRMAWATI,Unknown
DIMAS LUHUNG PRAKOSO,Akuntansi (D3)
A LILIK SLAMET RAHARSONO,Unknown
TARSICIUS SUTIKTO,Unknown
HADI WAHYONO,Unknown
CHRISTANTO PUJI R,Unknown
MISNO,Unknown
RINDA ANDRIANA,Manajemen (S1)
WIJI UTAMI,Unknown
AKHMAD HIDAYAT,Unknown
WIDODO EKATJAHJANA,Unknown
MIRTHA FIRMANSYAH,Unknown
MUJIMAN RUS ANDIANTO,Unknown
MISNO,Unknown
HENGKY BOWO ARDHIYANTO,Pendidikan Dokter Gigi (S1)
AKHMAD HIDAYAT,Unknown
SUDARMADJI,Unknown
KADEK DHARMA W,Unknown
BINAR RAHMA UTAMI,Dokter (Profesi)
EMILDA OKTAVIYANI,Pendidikan Bahasa Inggris (S1)
WINDA TRI WAHYUNINGTYAS,Teknik Sipil (S1)
SUNARLAN,Unknown
FEBRIA RAHAYUNI SULISTIOWATI,Dokter (Profesi)
UMMU AT-TA'ANNY,Teknologi Industri Pertanian (S1)
WIDODO EKATJAHJANA,Unknown
KURNIAWATI SAADAH,Unknown
SUGIYANTO,Unknown
AHMAD SAIKHU,Pendidikan Geografi (S1)
BUDI NURHARDJO,Unknown
ALVHINDEAZ AYENDHO,Unknown
ROFID ADI SATRIO,Unknown
RA'IYATU IMADIDIN,Ekonomi Pembangunan (S1)
BUDI NURHARDJO,Unknown
AHMAD SAIKHU,Pendidikan Geografi (S1)
PARTONO,Unknown
ROFID ADI SATRIO,Unknown
ALVHINDEAZ AYENDHO,Unknown
HARTADI,Unknown
ZUKHRUFFIYAH RIZQI ADDINDA,Unknown
YENNY YUSTISIA,Pendidikan Dokter Gigi (S1)
IRMA DWI ANGGRAENI,Unknown
TARSICIUS SUTIKTO,Unknown
MARTINUS H PANDUTAMA,Unknown
MISNO,Unknown
DIAN RAHMADIN AKBAR,Unknown
DINA EPRILIYANTI,Unknown
SUTRISNO DJAJA,Unknown
RA'IYATU IMADIDIN,Ekonomi Pembangunan (S1)
FAUZAN AUFA MAHSA ARIFIN,Unknown
WARAH ATIKAH,Ilmu Hukum (S1)
JOKO SUDIBYA,Unknown
