Nama,Program Studi
MOCHAMMAD NURUDDIN,Teknik Energi Terbarukan (D4)
YULI HANANTO,Teknik Energi Terbarukan (D4)
MILAWATY,Destinasi Pariwisata (D4)
WAHYU KURNIA DEWANTO,Manajemen Informatika (D3)
NITA MARIA ROSIANA,Gizi Klinik (D4)
ADI HERU UTOMO,Unknown
ANNISA LUTFI ALWI,Pengelolaan Perkebunan Kopi (D4)
REZA PUTRA PRADANA,Manajemen Informatika (D3)
AULIA NADHIRAH,Manajemen Agribisnis (D4)
TAUFIQ RIZALDI,Manajemen Informatika (D3)
TUNJUNG GENARSIH,Teknologi Rekayasa Mekatronika (D4)
MOCHAMAD IRWAN NARI,Teknologi Rekayasa Mekatronika (D4)
MUHAMMAD ZAYIN SUKRI,Produksi Tanaman Hortikultura (D3)
DAFIT ARI PRASETYO,Teknik Energi Terbarukan (D4)
MUJIONO,Teknologi Rekayasa Perangkat Lunak (Kampus Kabupat (D4)
NESA AYU MURTHISARI PUTRI,Manajemen Informasi Kesehatan (Kampus Kab. Ngawi) (D4)
USKEN FISDIANA,Produksi Tanaman Perkebunan (D3)
SITI HUMAIDA,Produksi Tanaman Perkebunan (D3)
ASMUNIR,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
MUHAMMAD ARDIYANSYAH SURYA N,Unknown
NANING RETNOWATI,Manajemen Agroindustri (D4)
ENDRO SUGIARTONO,Akuntansi Sektor Publik (D4)
GULLIT TORNADO TAUFAN,Bahasa Inggris (D3)
PUSPITO ARUM,Gizi Klinik (D4)
YUSLAILI NINGSIH,Bahasa Inggris (D3)
BEKTI MARYUNI SUSANTO,Teknik Komputer (D3)
DEWI PUSPA ARISANDI,Teknologi Produksi Tanaman Pangan (D4)
ATHO' AMRULLOH,Unknown
SYAIFUL BACHRI,Teknologi Rekayasa Pengemasan (D4)
NUR AFNI RACHMAN,Produksi Media (D4)
SATRIA INDRA KUSUMA,Budidaya Tanaman Perkebunan (D4)
AYU FEBRIYATNA,Gizi Klinik (D4)
DYAH KUSUMA WARDANI,Manajemen Agroindustri (D4)
VIGO DEWANGGA,Bahasa Inggris (D3)
FARUQ AVERO AZHAR,Mesin Otomotif (D4)
CHERRY TRIWIDIARTO,Unknown
DAVID JULI ARIYADI,Teknologi Rekayasa Perangkat Lunak (Kampus Kabupat (D4)
AMELIA DWI NUGRAHAINI,Manajemen Agribisnis (D4)
MUSHTHOFA KAMAL,Destinasi Pariwisata (D4)
SUGENG HARTANTO,Akuntansi Sektor Publik (D4)
TRI RAFIKA DIYAH INDARTIN,Destinasi Pariwisata (D4)
SURATENO,Teknik Komputer (D3)
